page1_id,page2_id,pub1,pub2,similarity,same_publication,text1_preview,text2_preview
416,434,GoldFlower,GoldFlower,0.99831617,True,"""Gold Flower."" Gold Flower, Aug. 1973. Archives of Sexuality and  
Gender, link.gale.com/apps/doc/RW","""Gold Flower."" Gold Flower, Sept. 1973. Archives of Sexuality and  
Gender, link.gale.com/apps/doc/M"
197,218,BigMammaRag,BigMammaRag,0.99819213,True,"""Big Mama Rag."" Big Mama Rag, vol. 3, no. 2, Aug. 1974. Archives of  
Sexuality and Gender, link.gal","""Big Mama Rag."" Big Mama Rag, vol. 3, no. 3, Sept. 1974. Archives of  
Sexuality and Gender, link.ga"
382,529,GoldFlower,GoldFlower,0.9979698,True,"""Gold Flower: A Twin Cities Newspaper for Women."" Gold Flower,  
Feb. 1974. Archives of Sexuality an","""Gold Flower: A Twin Cities Newspaper for Women."" Gold Flower,  
Aug. 1974. Archives of Sexuality an"
197,239,BigMammaRag,BigMammaRag,0.9976307,True,"""Big Mama Rag."" Big Mama Rag, vol. 3, no. 2, Aug. 1974. Archives of  
Sexuality and Gender, link.gal","""Big Mama Rag."" Big Mama Rag, vol. 3, no. 4, Oct. 1974. Archives of  
Sexuality and Gender, link.gal"
218,239,BigMammaRag,BigMammaRag,0.99749696,True,"""Big Mama Rag."" Big Mama Rag, vol. 3, no. 3, Sept. 1974. Archives of  
Sexuality and Gender, link.ga","""Big Mama Rag."" Big Mama Rag, vol. 3, no. 4, Oct. 1974. Archives of  
Sexuality and Gender, link.gal"
347,365,GoldFlower,GoldFlower,0.99745417,True,"""Gold Flower: A Twin Cities Newspaper for Women."" Gold Flower,  
Jan. 1973. Archives of Sexuality an","""Gold Flower: A Twin Cities Newspaper for Women."" Gold Flower,  
Feb. 1973. Archives of Sexuality an"
77,95,BigMammaRag,BigMammaRag,0.9971825,True,"""Big Mama Rag."" Big Mama Rag, vol. 1, no. 2, [February 1973].  
Archives of Sexuality and Gender, li","""Big Mama Rag."" Big Mama Rag, vol. 1, no. 3, [March 1973]. Archives  
of Sexuality and Gender, link."
141,155,BigMammaRag,BigMammaRag,0.99705136,True,"""Big Mama Rag."" Big Mama Rag, vol. 2, no. 7, May 1974. Archives of  
Sexuality and Gender, link.gale","""Big Mama Rag."" Big Mama Rag, vol. 2, no. 8, June 1974. Archives of  
Sexuality and Gender, link.gal"
452,416,GoldFlower,GoldFlower,0.99639124,True,"""Gold Flower."" Gold Flower, Oct. 1973. Archives of Sexuality and  
Gender, link.gale.com/apps/doc/SX","""Gold Flower."" Gold Flower, Aug. 1973. Archives of Sexuality and  
Gender, link.gale.com/apps/doc/RW"
452,434,GoldFlower,GoldFlower,0.99612707,True,"""Gold Flower."" Gold Flower, Oct. 1973. Archives of Sexuality and  
Gender, link.gale.com/apps/doc/SX","""Gold Flower."" Gold Flower, Sept. 1973. Archives of Sexuality and  
Gender, link.gale.com/apps/doc/M"
141,172,BigMammaRag,BigMammaRag,0.99589634,True,"""Big Mama Rag."" Big Mama Rag, vol. 2, no. 7, May 1974. Archives of  
Sexuality and Gender, link.gale","""Big Mama Rag."" Big Mama Rag, vol. 3, no. 1, July 1974. Archives of  
Sexuality and Gender, link.gal"
127,197,BigMammaRag,BigMammaRag,0.9953214,True,"""Big Mama Rag."" Big Mama Rag, vol. 2, no. 6, Apr. 1974. Archives of  
Sexuality and Gender, link.gal","""Big Mama Rag."" Big Mama Rag, vol. 3, no. 2, Aug. 1974. Archives of  
Sexuality and Gender, link.gal"
197,260,BigMammaRag,BigMammaRag,0.99522936,True,"""Big Mama Rag."" Big Mama Rag, vol. 3, no. 2, Aug. 1974. Archives of  
Sexuality and Gender, link.gal","""Big Mama Rag."" Big Mama Rag, vol. 3, no. 5, Nov. 1974. Archives of  
Sexuality and Gender, link.gal"
61,77,BigMammaRag,BigMammaRag,0.995105,True,"""The Big Mama Rag."" Big Mama Rag, vol. 1, [January 1973]. Archives  
of Sexuality and Gender, link.g","""Big Mama Rag."" Big Mama Rag, vol. 1, no. 2, [February 1973].  
Archives of Sexuality and Gender, li"
172,260,BigMammaRag,BigMammaRag,0.995013,True,"""Big Mama Rag."" Big Mama Rag, vol. 3, no. 1, July 1974. Archives of  
Sexuality and Gender, link.gal","""Big Mama Rag."" Big Mama Rag, vol. 3, no. 5, Nov. 1974. Archives of  
Sexuality and Gender, link.gal"
301,284,DoItNow,DoItNow,0.9949506,True,"""Do It Now Monthly Newsletter of the National Organization for  
Women January, 1974."" Do It Now, Ja","""Do It Now Monthly Newsletter of the National Organization for  
Women February, 1974."" Do It Now, F"
239,260,BigMammaRag,BigMammaRag,0.9949338,True,"""Big Mama Rag."" Big Mama Rag, vol. 3, no. 4, Oct. 1974. Archives of  
Sexuality and Gender, link.gal","""Big Mama Rag."" Big Mama Rag, vol. 3, no. 5, Nov. 1974. Archives of  
Sexuality and Gender, link.gal"
478,434,GoldFlower,GoldFlower,0.99454135,True,"""Gold Flower."" Gold Flower, Nov-Dec 1973. Archives of Sexuality  
and Gender, link.gale.com/apps/doc","""Gold Flower."" Gold Flower, Sept. 1973. Archives of Sexuality and  
Gender, link.gale.com/apps/doc/M"
218,260,BigMammaRag,BigMammaRag,0.9943438,True,"""Big Mama Rag."" Big Mama Rag, vol. 3, no. 3, Sept. 1974. Archives of  
Sexuality and Gender, link.ga","""Big Mama Rag."" Big Mama Rag, vol. 3, no. 5, Nov. 1974. Archives of  
Sexuality and Gender, link.gal"
61,95,BigMammaRag,BigMammaRag,0.9943155,True,"""The Big Mama Rag."" Big Mama Rag, vol. 1, [January 1973]. Archives  
of Sexuality and Gender, link.g","""Big Mama Rag."" Big Mama Rag, vol. 1, no. 3, [March 1973]. Archives  
of Sexuality and Gender, link."
